project_id,state,district,project_type,priority,current_stage,land_area_hectares,affected_owner_count,household_count,project_value_cr,compensation_offered_cr,compensation_paid_cr,compensation_pending_cr,compensation_paid_ratio,pending_document_count,document_pending_ratio,pending_approval_count,approval_age_days,objection_count,court_stay_flag,legal_issue_count,utility_shift_pending,forest_clearance_pending,railway_crossing_pending,stage_age_days,project_age_days,days_to_target,overall_progress_pct,progress_gap,district_delay_rate,past_delay_count,ground_truth_prob,delay_flag,delay_days
LA-2026-1001,Uttar Pradesh,Lucknow,Urban Metro Transit Extension,Critical,Stage 2: Section 11 Notification,116.92,760,625,199.39,69.81,3.28,66.53,0.047,5,0.152,6,4,13,1,15,0,0,0,36,101,307,0.98,23.8,0.39,5,0.751,1,172
LA-2026-1002,Madhya Pradesh,Indore,Major Irrigation & Canal,Critical,Stage 6: Land Possession & Handover,48.4,159,113,147.13,53.66,52.75,0.91,0.983,8,0.364,2,27,4,0,4,0,1,0,118,111,75,0.98,58.7,0.22,0,0.604,1,292
LA-2026-1003,Odisha,Jajpur,Renewable Energy Solar Park,Critical,Stage 6: Land Possession & Handover,6.37,61,50,86.52,22.52,16.15,6.37,0.717,12,0.8,1,70,0,0,0,0,0,0,147,265,-41,0.98,99.0,0.349,2,0.606,1,189
LA-2026-1004,Karnataka,Bengaluru Rural,National Highway Corridor,High,Stage 6: Land Possession & Handover,72.25,287,283,376.35,161.59,138.0,23.59,0.854,12,0.8,4,58,2,0,2,0,0,1,69,111,365,0.98,22.3,0.484,2,0.409,0,0
LA-2026-1005,Uttar Pradesh,Prayagraj,Urban Metro Transit Extension,High,Stage 2: Section 11 Notification,31.91,273,295,126.47,42.86,5.87,36.99,0.137,8,0.333,8,28,0,0,0,0,0,0,128,113,317,0.98,25.3,0.38,1,0.466,0,0
LA-2026-1006,Maharashtra,Thane,Major Irrigation & Canal,Critical,Stage 4: Section 19 Declaration,34.53,115,109,196.13,103.54,57.67,45.87,0.557,15,0.833,6,113,3,0,3,0,0,0,90,320,76,0.98,79.8,0.412,1,0.658,1,131
LA-2026-1007,Tamil Nadu,Tiruchirappalli,Major Irrigation & Canal,Cabinet Fast-Track,Stage 4: Section 19 Declaration,81.06,380,317,200.88,96.07,51.01,45.06,0.531,2,0.074,0,0,4,0,4,1,1,0,140,100,304,0.98,23.8,0.274,5,0.72,1,135
LA-2026-1008,Madhya Pradesh,Ujjain,National Highway Corridor,Cabinet Fast-Track,Stage 6: Land Possession & Handover,37.08,244,163,175.75,54.64,35.3,19.34,0.646,27,0.931,0,0,5,0,5,0,0,0,74,571,88,0.98,85.7,0.262,2,0.752,1,144
LA-2026-1009,Uttar Pradesh,Noida,Major Irrigation & Canal,High,Stage 1: Preliminary Survey & SIA,187.58,870,676,657.44,292.11,50.83,241.28,0.174,24,0.857,2,64,11,0,11,0,0,0,77,274,-91,0.98,99.0,0.492,4,0.808,1,123
LA-2026-1010,Karnataka,Mysuru,Industrial Smart City Corridor,High,Stage 3: Section 15 Hearing & Objections,105.22,466,499,258.63,119.2,20.98,98.22,0.176,15,0.682,0,0,6,1,9,0,0,0,163,30,693,0.98,4.0,0.224,0,0.98,1,224
LA-2026-1011,Karnataka,Mangaluru,National Highway Corridor,Normal,Stage 4: Section 19 Declaration,32.76,288,270,145.86,60.66,11.1,49.56,0.183,4,0.25,7,70,2,0,2,0,0,0,146,100,577,0.98,13.8,0.287,4,0.565,1,220
LA-2026-1012,Karnataka,Belagavi,Major Irrigation & Canal,Critical,Stage 4: Section 19 Declaration,48.25,381,387,116.5,30.55,3.39,27.16,0.111,7,0.368,1,43,3,0,3,0,0,0,40,492,217,0.98,68.4,0.227,0,0.636,1,146
LA-2026-1013,Uttar Pradesh,Lucknow,High-Speed Rail / DFC,Normal,Stage 4: Section 19 Declaration,46.56,388,363,168.94,69.68,32.19,37.49,0.462,8,0.421,7,27,7,0,7,0,0,1,141,102,416,0.98,18.7,0.391,3,0.653,1,260
